0000000000000000000000000000000000000000 count 8 age -9219442319 sec
    Node 096d71c65e2f0f6e3923f719c89d1d07531ce626 [2a01:e0a:c:e860:3979:b352:11b1:bab1]:8100 age -9219442319 [expired]
    Node 0b7fb4343df5d0dd526be47ae9f90c7086d04a8d [2607:fad8:4:6:89cb:8d6b:1fd8:8c8f]:4804 age -9219442319 [expired]
    Node 02e2037cc1adfe94d34749476ceacd75e9c7494b [2607:fad8:0:1::3]:4249 age -9219442319 [expired]
    Node 10c06cd33702e41e93e5ef5109807b88d0148d4f [2001:bb6:7e7e:f258:b1e2:97dd:1fe7:e48c]:4546 age -9219442319 [expired]
    Node 112de2918c086cfa230f0f680be50ee6f63d8605 [2001:41d0:303:4814::]:59110 age -9219442319 [expired]
    Node 1217061146119f45ab76abc9e71eef495c962eb2 [2001:41d0:303:4814::]:41461 age -9219442319 [expired]
    Node 21a77da471f37dff939a322c734b2998d864e10b [2001:41d0:303:4814::]:45222 age -9219442319 [expired]
    Node 2220e7cabf0a80b7c802e1185da8b3860a2745ab [::1]:4222 age -9219442319 [expired]
8000000000000000000000000000000000000000 count 0 age -9219442319 sec

