0000000000000000000000000000000000000000 count 8 age -9223256200 sec
    Node 4a6e20327060adbad2d6c9092610a864f6b4c647 [2602:304:6eaa:2e19:6e56:97ff:fed9:6c60]:5218 age -9223256200 [expired]
    Node 48caab2a476a7b359f32af138aa9c37fade7d442 [2607:5300:201:3000::29cc]:4243 age -9223256200 [expired]
    Node 48b1b31422d7a5e89c0eb78aff1109f4019af7c4 [2001:41d0:303:67d2::]:4223 age -9223256200 [expired]
    Node 4802457a0ecc34b8f30f9b3eb1305621f1c49188 [2a01:e35:2f20:17f0:18db:75b3:3f3e:46c]:7720 age -9223256200 [expired]
    Node 4eb45e63292b53ee8a46f187ecfaaacee85a0972 [2a01:cb19:884e:8f00:993b:c909:2a11:7e42]:8392 age -9223256200 [expired]
    Node 4f07221e5104e6c5c6a2f24a4ff7e9e60ad9544f [2a01:e35:2e0c:9b20:a51c:3ed5:243c:401]:7338 age -9223256200 [expired]
    Node 4c807e6e9b14b5aed4741025bd9c27ecd1e105be [2607:fad8:0:1::3]:4244 age -9223256200 [expired]
    Node 4d62e217017d17043e763ced4146a0fe532cf19d [2001:41d0:401:3100::2900]:4242 age -9223256200 [expired]
8000000000000000000000000000000000000000 count 0 age -9223256200 sec

